,Date,Price,Open,High,Low,Vol.,Change %,Currency
743,11/10/2020,492.0,493.74,494.77,492.57,0.02K,0.20%,USD
744,11/09/2020,491.0,493.72,495.38,492.85,0.02K,-0.35%,USD
745,11/06/2020,492.72,493.87,495.33,492.36,0.01K,-0.03%,USD
746,11/05/2020,492.87,493.45,495.18,492.67,0.02K,0.09%,USD
747,11/04/2020,492.45,493.66,494.83,492.23,0.02K,-0.04%,USD
748,11/03/2020,492.66,493.76,494.43,492.38,0.03K,-0.02%,USD
749,11/02/2020,492.76,493.6,494.18,492.25,0.02K,0.03%,USD
750,10/30/2020,492.6,493.15,494.3,492.17,0.03K,0.09%,USD
751,10/29/2020,492.15,492.7,493.58,492.7,0.01K,0.09%,USD
752,10/28/2020,491.7,493.0,493.58,492.35,0.01K,-0.09%,USD
753,10/27/2020,492.12,493.24,493.62,493.06,0.01K,-0.02%,USD
754,10/26/2020,492.24,494.0,494.0,493.12,0.01K,-0.15%,USD
755,10/23/2020,493.0,494.31,494.65,494.0,0.01K,-0.06%,USD
756,10/22/2020,493.31,494.0,494.68,493.65,0.01K,-0.01%,USD
757,10/21/2020,493.37,493.33,494.68,492.67,0.01K,0.21%,USD
758,10/20/2020,492.33,492.4,493.67,492.4,0.01K,0.48%,USD
759,10/19/2020,490.0,492.1,493.2,491.55,0.01K,0.45%,USD
760,10/16/2020,487.8,491.68,492.34,489.84,0.07K,-0.59%,USD
761,10/15/2020,490.68,491.34,491.84,491.17,0.01K,0.07%,USD
762,10/14/2020,490.34,490.99,491.72,489.89,0.02K,0.07%,USD
763,10/13/2020,489.99,489.65,491.55,489.23,0.02K,0.27%,USD
764,10/12/2020,488.65,490.95,490.95,489.65,0.01K,-0.07%,USD
765,10/09/2020,489.0,490.4,492.08,489.88,0.02K,0.41%,USD
766,10/08/2020,487.0,490.17,491.58,489.08,0.02K,-0.44%,USD
767,10/07/2020,489.17,490.14,490.58,488.92,0.02K,0.01%,USD
768,10/06/2020,489.14,488.6,491.07,488.2,0.03K,0.32%,USD
769,10/05/2020,487.6,488.6,490.4,488.3,0.03K,0.00%,USD
770,10/02/2020,487.6,488.55,488.8,488.27,0.01K,0.43%,USD
771,10/01/2020,485.5,487.0,488.35,487.0,0.02K,0.27%,USD
772,09/30/2020,484.2,485.5,487.0,485.5,0.01K,0.04%,USD
773,09/29/2020,484.0,485.66,486.33,485.33,0.00K,-0.14%,USD
774,09/28/2020,484.66,485.27,486.78,484.92,0.01K,0.08%,USD
775,09/25/2020,484.27,485.32,486.56,484.89,0.02K,-0.01%,USD
776,09/24/2020,484.32,485.42,486.71,484.16,0.12K,-0.02%,USD
